positive,negative
dote,brutalize
dotingly,brutalizing
doubtless,brutally
dreamland,brute
dumbfounded,brutish
dumbfounding,bs
dummy-proof,buckle
durable,bug
dynamic,bugging
eager,buggy
eagerly,bugs
eagerness,bulkier
earnest,bulkiness
earnestly,bulky
earnestness,bulkyness
ease,bull****
eased,bull----
eases,bullies
easier,bullshit
easiest,bullshyt
easiness,bully
easing,bullying
easy,bullyingly
easy-to-use,bum
easygoing,bump
ebullience,bumped
ebullient,bumping
ebulliently,bumpping
ecenomical,bumps
economical,bumpy
ecstasies,bungle
ecstasy,bungler
ecstatic,bungling
ecstatically,bunk
edify,burden
educated,burdensome
effective,burdensomely
effectively,burn
effectiveness,burned
effectual,burning
efficacious,burns
efficient,bust
efficiently,busts
effortless,busybody
effortlessly,butcher
effusion,butchery
effusive,buzzing
effusively,byzantine
effusiveness,cackle
elan,calamities
elate,calamitous
elated,calamitously
elatedly,calamity
elation,callous
electrify,calumniate
elegance,calumniation
elegant,calumnies
elegantly,calumnious
elevate,calumniously
elite,calumny
eloquence,cancer
eloquent,cancerous
eloquently,cannibal
embolden,cannibalize
eminence,capitulate
eminent,capricious
empathize,capriciously
empathy,capriciousness
empower,capsize
empowerment,careless
enchant,carelessness
enchanted,caricature
enchanting,carnage
enchantingly,carp
encourage,cartoonish
encouragement,cash-strapped
encouraging,castigate
encouragingly,castrated
endear,casualty
endearing,cataclysm
endorse,cataclysmal
endorsed,cataclysmic
endorsement,cataclysmically
endorses,catastrophe
endorsing,catastrophes
energetic,catastrophic
energize,catastrophically
energy-efficient,catastrophies
energy-saving,caustic
engaging,caustically
engrossing,cautionary
enhance,cave
enhanced,censure
enhancement,chafe
enhances,chaff
enjoy,chagrin
enjoyable,challenging
enjoyably,chaos
enjoyed,chaotic
enjoying,chasten
enjoyment,chastise
enjoys,chastisement
enlighten,chatter
enlightenment,chatterbox
enliven,cheap
ennoble,cheapen
enough,cheaply
enrapt,cheat
enrapture,cheated
enraptured,cheater
enrich,cheating
enrichment,cheats
enterprising,checkered
entertain,cheerless
entertaining,cheesy
entertains,chide
enthral,childish
enthrall,chill
enthralled,chilly
enthuse,chintzy
enthusiasm,choke
enthusiast,choleric
enthusiastic,choppy
enthusiastically,chore
entice,chronic
enticed,chunky
enticing,clamor
enticingly,clamorous
entranced,clash
entrancing,cliche
entrust,cliched
enviable,clique
enviably,clog
envious,clogged
enviously,clogs
enviousness,cloud
envy,clouding
equitable,cloudy
ergonomical,clueless
err-free,clumsy
erudite,clunky
ethical,coarse
eulogize,cocky
euphoria,coerce
euphoric,coercion
euphorically,coercive
evaluative,cold
evenly,coldly
eventful,collapse
everlasting,collude
evocative,collusion
exalt,combative
exaltation,combust
exalted,comical
exaltedly,commiserate
exalting,commonplace
exaltingly,commotion
examplar,commotions
examplary,complacent
excallent,complain
exceed,complained
exceeded,complaining
exceeding,complains
exceedingly,complaint
exceeds,complaints
excel,complex
exceled,complicated
excelent,complication
excellant,complicit
excelled,compulsion
excellence,compulsive
excellency,concede
excellent,conceded
excellently,conceit
excels,conceited
exceptional,concen
exceptionally,concens
excite,concern
excited,concerned
excitedly,concerns
excitedness,concession
excitement,concessions
excites,condemn
exciting,condemnable
excitingly,condemnation
exellent,condemned
exemplar,condemns
exemplary,condescend
exhilarate,condescending
exhilarating,condescendingly
exhilaratingly,condescension
exhilaration,confess
exonerate,confession
expansive,confessions
expeditiously,confined
expertly,conflict
exquisite,conflicted
exquisitely,conflicting
extol,conflicts
extoll,confound
extraordinarily,confounded
extraordinary,confounding
exuberance,confront
exuberant,confrontation
exuberantly,confrontational
exult,confuse
exultant,confused
exultation,confuses
exultingly,confusing
eye-catch,confusion
eye-catching,confusions
eyecatch,congested
eyecatching,congestion
fabulous,cons
fabulously,conscons
facilitate,conservative
fair,conspicuous
fairly,conspicuously
fairness,conspiracies
faith,conspiracy
faithful,conspirator
faithfully,conspiratorial
faithfulness,conspire
fame,consternation
famed,contagious
famous,contaminate
famously,contaminated
fancier,contaminates
fancinating,contaminating
fancy,contamination
fanfare,contempt
fans,contemptible
fantastic,contemptuous
fantastically,contemptuously
fascinate,contend
fascinating,contention
fascinatingly,contentious
fascination,contort
fashionable,contortions
fashionably,contradict
fast,contradiction
fast-growing,contradictory
fast-paced,contrariness
faster,contravene
fastest,contrive
fastest-growing,contrived
faultless,controversial
fav,controversy
fave,convoluted
favor,corrode
favorable,corrosion
favored,corrosions
favorite,corrosive
favorited,corrupt
favour,corrupted
fearless,corrupting
fearlessly,corruption
feasible,corrupts
feasibly,corruptted
feat,costlier
feature-rich,costly
fecilitous,counter-productive
feisty,counterproductive
felicitate,coupists
felicitous,covetous
felicity,coward
fertile,cowardly
fervent,crabby
fervently,crack
fervid,cracked
fervidly,cracks
fervor,craftily
festive,craftly
fidelity,crafty
fiery,cramp
fine,cramped
fine-looking,cramping
finely,cranky
finer,crap
finest,crappy
firmer,craps
first-class,crash
first-in-class,crashed
first-rate,crashes
flashy,crashing
flatter,crass
flattering,craven
flatteringly,cravenly
flawless,craze
flawlessly,crazily
flexibility,craziness
flexible,crazy
flourish,creak
flourishing,creaking
fluent,creaks
flutter,credulous
fond,creep
fondly,creeping
fondness,creeps
foolproof,creepy
foremost,crept
foresight,crime
formidable,criminal
fortitude,cringe
fortuitous,cringed
fortuitously,cringes
fortunate,cripple
fortunately,crippled
fortune,cripples
fragrant,crippling
free,crisis
freed,critic
freedom,critical
freedoms,criticism
fresh,criticisms
fresher,criticize
freshest,criticized
friendliness,criticizing
friendly,critics
frolic,cronyism
frugal,crook
fruitful,crooked
ftw,crooks
fulfillment,crowded
fun,crowdedness
futurestic,crude
futuristic,cruel
gaiety,crueler
gaily,cruelest
gain,cruelly
gained,cruelness
gainful,cruelties
gainfully,cruelty
gaining,crumble
gains,crumbling
gallant,crummy
gallantly,crumple
galore,crumpled
geekier,crumples
geeky,crush
gem,crushed
gems,crushing
generosity,cry
generous,culpable
generously,culprit
genial,cumbersome
genius,cunt
gentle,cunts
gentlest,cuplrit
genuine,curse
gifted,cursed
glad,curses
gladden,curt
gladly,cuss
gladness,cussed
glamorous,cutthroat
glee,cynical
gleeful,cynicism
gleefully,d*mn
glimmer,damage
glimmering,damaged
glisten,damages
glistening,damaging
glitter,damn
glitz,damnable
glorify,damnably
glorious,damnation
gloriously,damned
glory,damning
glow,damper
glowing,danger
glowingly,dangerous
god-given,dangerousness
god-send,dark
godlike,darken
godsend,darkened
gold,darker
golden,darkness
good,dastard
goodly,dastardly
goodness,daunt
goodwill,daunting
goood,dauntingly
gooood,dawdle
gorgeous,daze
gorgeously,dazed
grace,dead
graceful,deadbeat
gracefully,deadlock
gracious,deadly
graciously,deadweight
graciousness,deaf
grand,dearth
grandeur,death
grateful,debacle
gratefully,debase
gratification,debasement
gratified,debaser
gratifies,debatable
gratify,debauch
gratifying,debaucher
gratifyingly,debauchery
gratitude,debilitate
great,debilitating
greatest,debility
greatness,debt
grin,debts
groundbreaking,decadence
guarantee,decadent
guidance,decay
guiltless,decayed
gumption,deceit
gush,deceitful
gusto,deceitfully
gutsy,deceitfulness
hail,deceive
halcyon,deceiver
hale,deceivers
hallmark,deceiving
hallmarks,deception
hallowed,deceptive
handier,deceptively
handily,declaim
hands-down,decline
handsome,declines
handsomely,declining
handy,decrement
happier,decrepit
happily,decrepitude
happiness,decry
happy,defamation
hard-working,defamations
hardier,defamatory
hardy,defame
harmless,defect
harmonious,defective
harmoniously,defects
harmonize,defensive
harmony,defiance
headway,defiant
heal,defiantly
healthful,deficiencies
healthy,deficiency
hearten,deficient
heartening,defile
heartfelt,defiler
heartily,deform
heartwarming,deformed
heaven,defrauding
heavenly,defunct
helped,defy
helpful,degenerate
helping,degenerately
hero,degeneration
heroic,degradation
heroically,degrade
heroine,degrading
heroize,degradingly
heros,dehumanization
high-quality,dehumanize
high-spirited,deign
hilarious,deject
holy,dejected
homage,dejectedly
honest,dejection
honesty,delay
honor,delayed
honorable,delaying
honored,delays
honoring,delinquency
hooray,delinquent
hopeful,delirious
hospitable,delirium
hot,delude
hotcake,deluded
hotcakes,deluge
hottest,delusion
hug,delusional
humane,delusions
humble,demean
humility,demeaning
humor,demise
humorous,demolish
humorously,demolisher
humour,demon
humourous,demonic
ideal,demonize
idealize,demonized
ideally,demonizes
idol,demonizing
idolize,demoralize
idolized,demoralizing
idyllic,demoralizingly
illuminate,denial
illuminati,denied
illuminating,denies
illumine,denigrate
illustrious,denounce
ilu,dense
imaculate,dent
imaginative,dented
immaculate,dents
immaculately,denunciate
immense,denunciation
impartial,denunciations
impartiality,deny
impartially,denying
impassioned,deplete
impeccable,deplorable
impeccably,deplorably
important,deplore
impress,deploring
impressed,deploringly
impresses,deprave
impressive,depraved
impressively,depravedly
impressiveness,deprecate
improve,depress
improved,depressed
improvement,depressing
improvements,depressingly
improves,depression
improving,depressions
incredible,deprive
incredibly,deprived
indebted,deride
individualized,derision
indulgence,derisive
indulgent,derisively
industrious,derisiveness
inestimable,derogatory
inestimably,desecrate
inexpensive,desert
infallibility,desertion
infallible,desiccate
infallibly,desiccated
influential,desititute
ingenious,desolate
ingeniously,desolately
ingenuity,desolation
ingenuous,despair
ingenuously,despairing
innocuous,despairingly
innovation,desperate
innovative,desperately
inpressed,desperation
insightful,despicable
insightfully,despicably
inspiration,despise
inspirational,despised
inspire,despoil
inspiring,despoiler
instantly,despondence
instructive,despondency
instrumental,despondent
integral,despondently
integrated,despot
intelligence,despotic
intelligent,despotism
intelligible,destabilisation
interesting,destains
interests,destitute
intimacy,destitution
intimate,destroy
intricate,destroyer
intrigue,destruction
intriguing,destructive
intriguingly,desultory
intuitive,deter
invaluable,deteriorate
invaluablely,deteriorating
inventive,deterioration
invigorate,deterrent
invigorating,detest
invincibility,detestable
invincible,detestably
inviolable,detested
inviolate,detesting
invulnerable,detests
irreplaceable,detract
irreproachable,detracted
irresistible,detracting
irresistibly,detraction
issue-free,detracts
jaw-droping,detriment
jaw-dropping,detrimental
jollify,devastate
jolly,devastated
jovial,devastates
joy,devastating
joyful,devastatingly
joyfully,devastation
joyous,deviate
joyously,deviation
jubilant,devil
jubilantly,devilish
jubilate,devilishly
jubilation,devilment
jubiliant,devilry
judicious,devious
justly,deviously
keen,deviousness
keenly,devoid
keenness,diabolic
kid-friendly,diabolical
kindliness,diabolically
kindly,diametrically
kindness,diappointed
knowledgeable,diatribe
kudos,diatribes
large-capacity,dick
laud,dictator
laudable,dictatorial
laudably,die
lavish,die-hard
lavishly,died
law-abiding,dies
lawful,difficult
lawfully,difficulties
lead,difficulty
leading,diffidence
leads,dilapidated
lean,dilemma
led,dilly-dally
legendary,dim
leverage,dimmer
levity,din
liberate,ding
liberation,dings
liberty,dinky
lifesaver,dire
light-hearted,direly
lighter,direness
likable,dirt
like,dirtbag
liked,dirtbags
likes,dirts
liking,dirty
lionhearted,disable
lively,disabled
logical,disaccord
long-lasting,disadvantage
lovable,disadvantaged
lovably,disadvantageous
love,disadvantages
loved,disaffect
loveliness,disaffected
lovely,disaffirm
lover,disagree
loves,disagreeable
loving,disagreeably
low-cost,disagreed
low-price,disagreeing
low-priced,disagreement
low-risk,disagrees
lower-priced,disallow
loyal,disapointed
loyalty,disapointing
lucid,disapointment
lucidly,disappoint
luck,disappointed
luckier,disappointing
luckiest,disappointingly
luckiness,disappointment
lucky,disappointments
lucrative,disappoints
luminous,disapprobation
lush,disapproval
luster,disapprove
lustrous,disapproving
luxuriant,disarm
luxuriate,disarray
luxurious,disaster
luxuriously,disasterous
luxury,disastrous
lyrical,disastrously
magic,disavow
magical,disavowal
magnanimous,disbelief
magnanimously,disbelieve
magnificence,disbeliever
magnificent,disclaim
magnificently,discombobulate
majestic,discomfit
majesty,discomfititure
manageable,discomfort
maneuverable,discompose
marvel,disconcert
marveled,disconcerted
marvelled,disconcerting
marvellous,disconcertingly
marvelous,disconsolate
marvelously,disconsolately
marvelousness,disconsolation
marvels,discontent
master,discontented
masterful,discontentedly
masterfully,discontinued
masterpiece,discontinuity
masterpieces,discontinuous
masters,discord
mastery,discordance
matchless,discordant
mature,discountenance
maturely,discourage
maturity,discouragement
meaningful,discouraging
memorable,discouragingly
merciful,discourteous
mercifully,discourteously
mercy,discoutinous
merit,discredit
meritorious,discrepant
merrily,discriminate
merriment,discrimination
merriness,discriminatory
merry,disdain
mesmerize,disdained
mesmerized,disdainful
mesmerizes,disdainfully
mesmerizing,disfavor
mesmerizingly,disgrace
meticulous,disgraced
meticulously,disgraceful
mightily,disgracefully
mighty,disgruntle
mind-blowing,disgruntled
miracle,disgust
miracles,disgusted
miraculous,disgustedly
miraculously,disgustful
miraculousness,disgustfully
modern,disgusting
modest,disgustingly
modesty,dishearten
momentous,disheartening
monumental,dishearteningly
monumentally,dishonest
morality,dishonestly
motivated,dishonesty
multi-purpose,dishonor
navigable,dishonorable
neat,dishonorablely
neatest,disillusion
neatly,disillusioned
nice,disillusionment
nicely,disillusions
nicer,disinclination
nicest,disinclined
nifty,disingenuous
nimble,disingenuously
noble,disintegrate
nobly,disintegrated
noiseless,disintegrates
non-violence,disintegration
non-violent,disinterest
notably,disinterested
noteworthy,dislike
nourish,disliked
nourishing,dislikes
nourishment,disliking
novelty,dislocated
nurturing,disloyal
oasis,disloyalty
obsession,dismal
obsessions,dismally
obtainable,dismalness
openly,dismay
openness,dismayed
optimal,dismaying
optimism,dismayingly
optimistic,dismissive
opulent,dismissively
orderly,disobedience
originality,disobedient
outdo,disobey
outdone,disoobedient
outperform,disorder
outperformed,disordered
outperforming,disorderly
outperforms,disorganized
outshine,disorient
outshone,disoriented
outsmart,disown
outstanding,disparage
outstandingly,disparaging
outstrip,disparagingly
outwit,dispensable
ovation,dispirit
overjoyed,dispirited
overtake,dispiritedly
overtaken,dispiriting
overtakes,displace
overtaking,displaced
overtook,displease
overture,displeased
pain-free,displeasing
painless,displeasure
painlessly,disproportionate
palatial,disprove
pamper,disputable
pampered,dispute
pamperedly,disputed
pamperedness,disquiet
pampers,disquieting
panoramic,disquietingly
paradise,disquietude
paramount,disregard
pardon,disregardful
passion,disreputable
passionate,disrepute
passionately,disrespect
patience,disrespectable
patient,disrespectablity
patiently,disrespectful
patriot,disrespectfully
patriotic,disrespectfulness
peace,disrespecting
peaceable,disrupt
peaceful,disruption
peacefully,disruptive
peacekeepers,diss
peach,dissapointed
peerless,dissappointed
pep,dissappointing
pepped,dissatisfaction
pepping,dissatisfactory
peppy,dissatisfied
peps,dissatisfies
perfect,dissatisfy
perfection,dissatisfying
perfectly,dissed
permissible,dissemble
perseverance,dissembler
persevere,dissension
personages,dissent
personalized,dissenter
phenomenal,dissention
phenomenally,disservice
picturesque,disses
piety,dissidence
pinnacle,dissident
playful,dissidents
playfully,dissing
pleasant,dissocial
pleasantly,dissolute
pleased,dissolution
pleases,dissonance
pleasing,dissonant
pleasingly,dissonantly
pleasurable,dissuade
pleasurably,dissuasive
pleasure,distains
plentiful,distaste
pluses,distasteful
plush,distastefully
plusses,distort
poetic,distorted
poeticize,distortion
poignant,distorts
poise,distract
poised,distracting
polished,distraction
polite,distraught
politeness,distraughtly
popular,distraughtness
portable,distress
posh,distressed
positive,distressing
positively,distressingly
positives,distrust
powerful,distrustful
powerfully,distrusting
praise,disturb
praiseworthy,disturbance
praising,disturbed
pre-eminent,disturbing
precious,disturbingly
precise,disunity
precisely,disvalue
preeminent,divergent
prefer,divisive
preferable,divisively
preferably,divisiveness
prefered,dizzing
preferes,dizzingly
preferring,dizzy
prefers,doddering
premier,dodgey
prestige,dogged
prestigious,doggedly
prettily,dogmatic
pretty,doldrums
priceless,domineer
pride,domineering
principled,donside
privilege,doom
privileged,doomed
prize,doomsday
proactive,dope
problem-free,doubt
problem-solver,doubtful
prodigious,doubtfully
prodigiously,doubts
prodigy,douchbag
productive,douchebag
productively,douchebags
proficient,downbeat
proficiently,downcast
profound,downer
profoundly,downfall
profuse,downfallen
profusion,downgrade
progress,downhearted
progressive,downheartedly
prolific,downhill
prominence,downside
prominent,downsides
promise,downturn
promised,downturns
promises,drab
promising,draconian
promoter,draconic
prompt,drag
promptly,dragged
proper,dragging
properly,dragoon
propitious,drags
propitiously,drain
pros,drained
prosper,draining
prosperity,drains
prosperous,drastic
prospros,drastically
protect,drawback
protection,drawbacks
protective,dread
proud,dreadful
proven,dreadfully
proves,dreadfulness
providence,dreary
proving,dripped
prowess,dripping
prudence,drippy
prudent,drips
prudently,drones
punctual,droop
pure,droops
purify,drop-out
purposeful,drop-outs
quaint,dropout
qualified,dropouts
qualify,drought
quicker,drowning
quiet,drunk
quieter,drunkard
radiance,drunken
radiant,dubious
rapid,dubiously
rapport,dubitable
rapt,dud
rapture,dull
raptureous,dullard
raptureously,dumb
rapturous,dumbfound
rapturously,dump
rational,dumped
razor-sharp,dumping
reachable,dumps
readable,dunce
readily,dungeon
ready,dungeons
reaffirm,dupe
reaffirmation,dust
realistic,dusty
realizable,dwindling
reasonable,dying
reasonably,earsplitting
reasoned,eccentric
reassurance,eccentricity
reassure,effigy
receptive,effrontery
reclaim,egocentric
recomend,egomania
recommend,egotism
recommendation,egotistical
recommendations,egotistically
recommended,egregious
reconcile,egregiously
reconciliation,election-rigger
record-setting,elimination
recover,emaciated
recovery,emasculate
rectification,embarrass
rectify,embarrassing
rectifying,embarrassingly
redeem,embarrassment
redeeming,embattled
redemption,embroil
refine,embroiled
refined,embroilment
refinement,emergency
reform,emphatic
reformed,emphatically
reforming,emptiness
reforms,encroach
refresh,encroachment
refreshed,endanger
refreshing,enemies
refund,enemy
refunded,enervate
regal,enfeeble
regally,enflame
regard,engulf
rejoice,enjoin
rejoicing,enmity
rejoicingly,enrage
rejuvenate,enraged
rejuvenated,enraging
rejuvenating,enslave
relaxed,entangle
relent,entanglement
reliable,entrap
reliably,entrapment
relief,envious
relish,enviously
remarkable,enviousness
remarkably,epidemic
remedy,equivocal
remission,erase
remunerate,erode
renaissance,erodes
renewed,erosion
renown,err
renowned,errant
replaceable,erratic
reputable,erratically
reputation,erroneous
resilient,erroneously
resolute,error
resound,errors
resounding,eruptions
resourceful,escapade
resourcefulness,eschew
respect,estranged
respectable,evade
respectful,evasion
respectfully,evasive
respite,evil
resplendent,evildoer
responsibly,evils
responsive,eviscerate
restful,exacerbate
restored,exagerate
restructure,exagerated
restructured,exagerates
restructuring,exaggerate
retractable,exaggeration
revel,exasperate
revelation,exasperated
revere,exasperating
reverence,exasperatingly
reverent,exasperation
reverently,excessive
revitalize,excessively
revival,exclusion
revive,excoriate
revives,excruciating
revolutionary,excruciatingly
revolutionize,excuse
revolutionized,excuses
revolutionizes,execrate
reward,exhaust
rewarding,exhausted
rewardingly,exhaustion
rich,exhausts
richer,exhorbitant
richly,exhort
richness,exile
right,exorbitant
righten,exorbitantance
righteous,exorbitantly
righteously,expel
righteousness,expensive
rightful,expire
rightfully,expired
rightly,explode
rightness,exploit
risk-free,exploitation
robust,explosive
rock-star,expropriate
rock-stars,expropriation
rockstar,expulse
rockstars,expunge
romantic,exterminate
romantically,extermination
romanticize,extinguish
roomier,extort
roomy,extortion
rosy,extraneous
safe,extravagance
safely,extravagant
sagacity,extravagantly
sagely,extremism
saint,extremist
saintliness,extremists
saintly,eyesore
salutary,f**k
salute,fabricate
sane,fabrication
satisfactorily,facetious
satisfactory,facetiously
satisfied,fail
satisfies,failed
satisfy,failing
satisfying,fails
satisified,failure
saver,failures
savings,faint
savior,fainthearted
savvy,faithless
scenic,fake
seamless,fall
seasoned,fallacies
secure,fallacious
securely,fallaciously
selective,fallaciousness
self-determination,fallacy
self-respect,fallen
self-satisfaction,falling
self-sufficiency,fallout
self-sufficient,falls
sensation,FALSE
sensational,falsehood
sensationally,falsely
sensations,falsify
sensible,falter
sensibly,faltered
sensitive,famine
serene,famished
serenity,fanatic
sexy,fanatical
sharp,fanatically
sharper,fanaticism
sharpest,fanatics
shimmering,fanciful
shimmeringly,far-fetched
shine,farce
shiny,farcical
significant,farcical-yet-provocative
silent,farcically
simpler,farfetched
simplest,fascism
simplified,fascist
